87.11,90.59,83.62,84.69,74.4,94.32
87.37,87.63,87.11,87.18,74.74,94.33
86.85,90.59,83.1,84.28,73.9,94.15
87.63,90.42,84.84,85.64,75.38,94.32
87.28,90.24,84.32,85.2,74.7,94.38
87.25+0.29,89.89+1.27,84.6+1.55,85.4+1.12,74.62+0.54,94.3+0.09
0.29,1.27,1.55,1.12,0.54,0.09
